Total Production,Vinnytsia,Volyn,Dnipropetrovsk,Donetsk,Zhytomyr,Transcarpathian,Zaporizhzhia,Ivano-Frankivsk,Kyiv,Kirovohrad,Luhansk,Lviv,Mykolaiv,Odessa,Poltava,Rivne,Sumy,Ternopil,Kharkiv,Kherson,Khmelnytskyi,Cherkasy,Chernivtsi,Chernihiv
60000000,418.721688256,749.5091128,232.978,232.978,614.1981808,274.09,256.4836688,542.654783392,443.56058768,274.09,327.464352,459.613420288,232.978,232.978,276.366135568,667.048632544,432.0416692,406.306532464,308.35,232.978,353.864746,292.06043544,506.4993928,581.8999264
61000000,426.6550673894898,749.5091077579132,232.97799989864916,232.97799989864916,614.1981775324828,274.08999989140983,256.4836679370383,544.0769400740928,444.2708489378249,274.08999989140983,327.46435031642903,460.2419276512533,232.97799989864916,232.97799989864916,277.131266810493,672.5974689118085,432.04166805545356,407.2691081462038,308.3499999457049,232.97799989864916,362.46303974618536,292.4817485902877,506.499390944926,581.8999232900994
62000000,426.65507653614736,749.5091177607629,232.97800009971616,232.97800009971616,614.1981840148153,274.0900001068388,256.483669649043,545.4532338541459,444.95820240229943,274.0900001068388,327.46435365641673,460.8501642761312,232.97800009971616,232.97800009971616,277.87171692439176,679.8910922731384,432.0416703260861,416.631111095076,308.35000005341936,232.97800009971616,368.4141148723069,292.88947208255865,506.4993946251535,581.899929459741
63000000,426.655072,749.5091127999999,232.978,232.978,614.1981807999999,274.09,256.48366880000003,546.6348712,445.62373131428575,274.09,327.464352,461.5902983085714,232.978,232.978,278.58866015999996,686.9531693866666,432.04166920000006,409.1025881752381,308.35,232.978,390.76958131428574,293.28425089523813,506.49939279999995,581.8999264
64000000,426.6550676056074,749.5091079942611,232.97799990339996,232.97799990339996,614.1981776856477,274.0899998965,256.48366797748963,546.6348689301891,446.2684624313942,274.0899998965,327.4643503953464,468.3843040668308,232.97799990339996,232.97799990339996,279.283198901852,693.7945527833658,432.0416681091042,409.9763547180099,308.34999994825,232.97799990339996,399.32909364351536,293.6666928603061,506.49939103188257,581.899923435876
65000000,426.65507632678674,749.5091175318046,232.97800009511388,232.97800009511388,614.1981838664392,274.0900001019077,256.4836696098564,546.6348734348908,446.8933594229337,274.0900001019077,327.4643535799667,465.2603201436133,232.97800009511388,232.97800009511388,279.9563677996925,700.4254491078539,432.0416702741129,410.8232387077673,308.35000005095384,232.97800009511388,417.3341802594459,294.03736846210694,506.49939454091566,581.8999293185223
66000000,426.655072,749.5091127999999,232.978,232.978,614.1981807999999,274.09,256.48366880000003,546.6348712,447.49931643636364,274.09,327.464352,467.0119215854546,232.978,232.978,280.60913706181816,706.8553893236364,432.0416692,411.6444570036364,308.35,232.978,430.01273952727274,294.3968104,506.4993928,581.8999263999999
67000000,426.65506780237126,749.5091082094435,232.97799990772535,232.97799990772535,614.1981778250964,274.0899999011343,256.4836680143184,546.6348690318224,448.08718516648133,274.0899999011343,329.3013938863889,486.09347376768767,232.97799990772535,232.97799990772535,281.2424206589724,713.0933905785528,432.0416681579502,431.9265236111785,308.34999995056717,232.97799990772535,405.4452321822659,294.74552208329885,506.49939111105203,581.899923568598
68000000,426.6550761358991,749.5091173230485,232.97800009091767,232.97800009091767,614.198183731155,274.0900000974118,256.4836695741274,568.6670857333493,448.6577672926797,274.0900000974118,331.1142400917775,470.36057124433916,232.97800009091767,232.97800009091767,281.8570788897144,713.840864103422,432.04167022672556,413.2144356634975,308.3500000487059,232.97800009091767,437.5319029590688,295.08398049249627,506.49939446411054,581.8999291897638
69000000,426.655072,749.5091128,232.978,232.978,614.1981807999999,274.09,256.4836688,593.07380944,449.2118072,274.09,332.8745408,471.96209935999997,232.978,232.978,282.45392032,713.84086,432.0416692,413.96529375999995,308.35,232.978,430.6030156,295.4126256,506.4993928,581.8999264
70000000,426.65506798226966,749.5091084061816,232.97799991167997,232.97799991167997,614.1981779525922,274.0899999053714,256.48366804799053,616.7831938638117,449.7500173831998,274.0899999053714,334.5845471626127,473.5178694934157,232.97799991167997,232.97799991167997,283.03370912454454,713.8408560138188,432.0416682026095,414.69469875111366,308.3499999526857,232.97799991167997,423.87209717478515,295.7318808398848,506.49939118343553,581.8999236899438
71000000,426.65507596114276,749.5091171319336,232.97800008707608,232.97800008707608,614.1981836073035,274.0900000932958,256.4836695414178,639.8247237786818,450.27307027034453,274.0900000932958,336.24638358234625,475.0298152049361,232.97800008707608,232.97800008707608,283.59716650553025,713.8408639300379,432.0416701833428,415.40355963477646,308.3500000466479,232.97800008707608,417.33079114552106,296.0421458345955,506.499394393796,581.8999290718865
72000000,426.655072,749.5091127999999,232.978,232.978,614.1981808,274.09,256.4836688,662.2261956799999,450.7815904,274.09,337.8620586,476.49976232,232.978,232.978,284.14497164,713.84086,432.04166919999994,416.0927274533333,308.35,232.978,410.9711792,296.34378953333334,506.4993928,581.8999264
73000000,426.6550681473818,749.5091085867494,232.97799991530957,232.97799991530957,614.198178069609,274.08999990926026,256.483668078895,684.0139281408524,451.2761784603158,274.08999990926026,339.43346851375003,477.9294368795869,232.97799991530957,232.97799991530957,284.67776840277907,713.8408561776345,432.0416682435982,416.7630139468946,308.3499999546301,232.97799991530957,404.7858033356712,296.63716901462607,506.49939124986963,581.8999238013159
74000000,426.6550758005559,749.5091169563149,232.97800008354596,232.97800008354596,614.1981834934938,274.0900000895135,256.48366951136035,705.2128216115333,451.7574027348909,274.0900000895135,340.9624073259379,479.32047301060294,232.97800008354596,232.97800008354596,285.19616593475473,713.8408637707121,432.0416701434775,417.4151870659247,308.35000004475677,232.97800008354596,398.76760586980845,296.92262209406294,506.4993943291826,581.8999289635668
75000000,426.655072,749.5091128,232.978,232.978,614.1981808,274.09,256.4836688,725.8463910208001,452.22579094400004,274.09,342.450574976,480.6744122432,232.978,232.978,285.70073885439996,714.3910245632001,432.0416692,418.0499664512,308.35,232.978,392.909889712,297.200460352,506.4993928,581.8999264
76000000,426.6550682994589,749.5091087530619,232.9779999186526,232.9779999186526,614.1981781773875,274.08999991284213,256.4836681073597,745.9369713327266,452.6818531378753,274.08999991284213,343.899580288564,515.3342995689577,232.9779999186526,232.9779999186526,286.192033528835,715.0894579448477,432.0416682813509,418.66804110262217,308.349999956421,232.9779999186526,353.8647454773184,297.4709870710612,506.499391311059,581.8999239038956
77000000,426.6550756524823,749.5091167943804,232.97800008029094,232.97800008029094,614.1981833885526,274.090000086026,256.483669483645,760.8888177126112,453.12607292827084,274.090000086026,345.31094869608097,511.06295119249523,232.97800008029094,232.97800008029094,286.6705680045633,715.676056230646,432.0416701067187,419.27006430600443,308.350000043013,232.97800008029094,358.5768695965859,297.73448981311884,506.4993942696041,581.8999288636876
78000000,426.655072,749.5091128,232.978,232.978,614.1981807999999,274.09,256.48366880000003,760.8888135999999,453.5588991384615,274.09,346.6861285538461,506.90111943384613,232.978,232.978,287.1368316676923,715.9519220061538,432.0416692,419.85664860307696,308.35,232.978,378.03703377846153,297.9912334153846,506.49939279999995,581.8999264
79000000,426.65506843998577,749.5091089067432,232.97799992174174,232.97799992174174,614.1981782769805,274.0899999161519,256.4836681336625,760.8888095915058,453.98076771442265,274.0899999161519,348.02649370416873,502.8446505877532,232.97799992174174,232.97799992174174,287.5912911781273,716.2208038324615,432.0416683162363,420.42838265305073,308.3499999580759,232.97799992174174,397.0045349520284,298.24147717448426,506.49939136760105,581.8999239986842
